fold,accuracy,auc,f1,sensitivity,specificity
1,0.6111111111111112,0.9185386473429953,0.5979476536377263,0.4083333333333333,0.9637681159420289
2,0.7619047619047619,0.9439565217391304,0.765246838650997,0.655,0.9478260869565217
3,0.6634920634920635,0.9006521739130435,0.6637769408066916,0.525,0.9043478260869565
4,0.6815286624203821,0.9181996941227879,0.6815286624203821,0.5376884422110553,0.9304347826086956
5,0.7904761904761904,0.9247826086956522,0.7943562610229277,0.735,0.8869565217391304
6,0.7428571428571429,0.9254782608695652,0.7462397455820173,0.635,0.9304347826086956
7,0.8412698412698413,0.9331304347826086,0.8435794070714705,0.82,0.8782608695652174
8,0.6857142857142857,0.9264347826086956,0.6851631351082073,0.535,0.9478260869565217
9,0.7047619047619048,0.9075652173913042,0.7069957365039332,0.58,0.9217391304347826
10,0.3781632072789309,0.6998296470062555,0.5014074164597226,0.91875,0.3523979743818886
